Water,Sanitation,Electricity,Education,Nutrition
98.8,70.2,97.9,73.0,18.7
92.2,73.85,93.2,69.23333333333333,5.9
97.9,90.6,99.6,76.3,23.5
87.7,73.15,99.9,55.6,16.1
93.1,61.0,99.5,50.63333333333333,1.8
91.8,75.35,99.6,60.76666666666667,11.8
97.9,79.0,98.8,65.5,10.2
99.1,83.8,99.3,66.3,3.5
94.4,84.44999999999999,99.6,65.7,23.4
99.3,87.55000000000001,99.2,55.333333333333336,11.2
98.6,84.6,99.3,51.800000000000004,13.4
95.6,83.19999999999999,99.1,59.03333333333334,30.8
99.9,89.85,99.8,55.23333333333333,41.45
97.9,75.8,99.9,48.53333333333333,43.849999999999994
98.8,78.85,99.6,51.46666666666667,37.25
98.5,80.6,99.7,58.4,35.75
99.8,84.9,99.7,52.53333333333334,18.8
99.8,88.9,97.5,63.43333333333333,19.7
93.6,62.55,86.3,52.366666666666674,26.4
92.9,78.5,98.7,68.76666666666667,50.349999999999994
94.7,56.85,87.0,52.5,27.3
99.8,64.05,99.5,59.56666666666666,25.2
81.8,58.2,95.2,60.9,50.05
98.1,71.8,97.8,66.6,29.8
100.0,72.15,79.2,62.86666666666665,11.0
99.5,73.65,84.4,70.1,42.0
86.6,57.9,96.4,52.73333333333334,25.4
97.3,68.15,97.3,72.06666666666666,24.0
99.8,83.8,99.7,46.93333333333334,14.6
99.8,67.8,99.2,61.26666666666667,18.7
96.9,73.8,98.9,61.333333333333336,20.8
62.5,52.95,97.4,54.26666666666667,43.05
93.5,51.9,96.5,53.79999999999999,42.0
96.3,59.400000000000006,99.6,72.2,17.3
93.8,68.55,98.8,61.43333333333334,33.05
99.1,72.4,88.2,65.93333333333334,44.9
87.3,57.75,93.9,58.800000000000004,10.0
90.7,55.8,89.6,58.666666666666664,7.5
98.1,51.2,88.9,60.633333333333326,34.2
94.6,49.95,89.5,60.76666666666667,36.8
81.2,55.150000000000006,97.2,69.73333333333333,44.400000000000006
95.3,46.2,95.0,67.46666666666667,41.15
96.8,53.8,95.7,56.23333333333333,16.3
98.1,60.0,94.4,63.26666666666667,5.6
93.7,53.099999999999994,96.4,60.199999999999996,4.4
50.2,66.0,95.9,71.73333333333333,8.7
43.8,50.3,81.7,61.166666666666664,26.75
62.3,50.55,87.1,60.800000000000004,29.2
41.2,47.6,91.2,63.0,26.25
95.3,61.15,97.0,60.46666666666667,16.5
92.1,60.8,97.8,55.333333333333336,43.25
92.1,63.05,94.8,66.06666666666666,6.5
87.2,75.15,99.2,74.2,1.0
99.5,59.599999999999994,94.7,69.1,8.8
89.8,52.050000000000004,98.1,58.9,37.3
99.7,49.0,89.5,59.43333333333334,35.1
82.3,53.9,95.5,54.800000000000004,2.5
76.2,55.8,91.1,54.76666666666667,41.25
96.4,51.6,91.7,57.699999999999996,9.9
96.7,51.25,92.5,53.900000000000006,36.900000000000006
99.9,57.55,96.3,61.800000000000004,33.5
85.9,64.35,95.1,70.8,11.5
79.6,54.3,97.0,61.833333333333336,36.650000000000006
98.6,42.449999999999996,93.5,67.83333333333333,14.2
96.1,52.349999999999994,94.5,60.599999999999994,38.05
92.7,63.9,97.0,73.6,24.4
82.9,59.0,88.2,58.70000000000001,34.949999999999996
98.2,43.75,79.5,51.26666666666667,36.699999999999996
44.7,47.2,94.7,56.46666666666666,44.199999999999996
99.7,37.349999999999994,93.5,44.63333333333333,38.9
99.9,46.25,94.8,42.833333333333336,43.7
100.0,44.6,97.6,43.23333333333333,43.5
99.7,45.6,93.1,43.333333333333336,40.0
100.0,39.1,98.6,45.1,43.3
99.7,32.85,97.3,36.4,39.3
100.0,23.700000000000003,96.2,37.833333333333336,40.9
100.0,33.85,95.8,39.666666666666664,33.3
99.6,27.450000000000003,92.4,40.1,29.55
99.2,30.75,92.0,42.333333333333336,24.950000000000003
99.3,24.0,97.0,42.93333333333333,35.5
100.0,32.85,97.2,38.06666666666667,29.85
99.8,45.150000000000006,97.2,42.333333333333336,42.85
99.9,48.35,96.6,53.96666666666666,44.550000000000004
99.9,49.75,96.2,53.166666666666664,48.65
99.8,47.85,95.3,60.16666666666668,35.15
99.7,37.0,93.6,55.29999999999999,26.05
99.2,46.75,96.5,53.63333333333333,29.35
98.6,42.45,95.7,47.23333333333333,40.6
99.1,53.7,96.2,53.800000000000004,27.7
98.8,49.1,94.5,46.333333333333336,32.25
98.0,55.05,94.5,55.26666666666666,30.35
96.3,35.25,96.2,45.86666666666667,29.849999999999998
97.7,61.099999999999994,98.4,61.13333333333333,32.699999999999996
96.6,47.1,98.0,49.699999999999996,27.400000000000002
98.4,47.25,97.3,47.26666666666667,43.6
98.9,46.75,98.9,48.166666666666664,38.4
98.8,62.8,99.0,60.23333333333333,15.3
99.7,44.4,97.9,55.53333333333333,20.75
99.8,48.55,98.5,55.4,20.65
98.0,44.05,96.7,52.6,29.25
99.6,58.2,98.5,63.199999999999996,29.6
100.0,43.0,97.7,56.5,33.8
99.2,39.55,97.9,49.9,39.7
99.3,44.3,97.4,53.6,32.8
90.5,38.900000000000006,97.9,40.800000000000004,33.6
99.8,39.9,99.3,51.800000000000004,19.7
99.9,36.35,97.4,52.666666666666664,29.9
99.1,90.4,99.9,76.43333333333332,19.0
87.6,51.75,97.6,61.26666666666667,45.75
88.8,43.8,98.2,59.300000000000004,46.8
97.5,48.05,99.0,62.166666666666664,43.65
82.2,54.4,97.9,61.93333333333333,4.0
97.2,51.8,99.5,60.666666666666664,40.25
97.9,52.65,99.5,54.03333333333333,39.0
98.8,53.3,99.3,64.9,48.05
98.8,57.3,98.4,57.46666666666666,48.9
99.1,60.349999999999994,99.9,67.3,43.150000000000006
98.7,53.2,99.4,63.0,50.35
90.5,36.15,90.1,44.76666666666667,51.699999999999996
94.3,24.55,86.8,39.3,49.150000000000006
99.5,58.55,99.7,69.13333333333334,2.9
94.8,51.900000000000006,99.2,60.133333333333326,42.4
84.4,35.25,97.9,53.70000000000001,49.300000000000004
94.1,46.3,96.8,45.96666666666667,40.599999999999994
98.8,49.7,99.7,57.46666666666666,40.15
93.6,61.35,98.6,60.900000000000006,15.2
95.1,47.55,95.9,41.833333333333336,52.849999999999994
98.5,82.9,99.6,72.23333333333333,8.3
96.8,49.05,98.7,55.76666666666667,51.6
98.8,45.95,97.8,46.099999999999994,47.3
98.0,51.8,99.7,54.79999999999999,48.5
99.7,72.25,99.5,66.16666666666666,39.900000000000006
96.0,24.95,98.3,34.1,53.349999999999994
83.4,49.7,98.7,54.599999999999994,48.300000000000004
96.4,50.15,99.3,59.23333333333333,48.550000000000004
99.7,87.5,100.0,73.76666666666667,17.9
96.0,79.6,99.5,70.86666666666666,11.8
94.8,68.7,99.7,58.36666666666667,49.0
98.1,92.2,100.0,84.63333333333334,25.8
99.0,92.2,100.0,84.3,13.4
96.8,76.5,99.2,55.43333333333333,33.5
93.6,49.75,91.1,47.46666666666667,30.65
99.4,67.85,98.3,52.83333333333332,19.55
97.0,67.6,97.7,59.66666666666666,0.0
99.7,80.75,97.8,65.76666666666667,4.9
96.2,81.30000000000001,99.8,65.03333333333333,43.6
97.8,69.44999999999999,99.6,58.1,46.0
99.7,73.6,98.0,61.1,11.5
91.0,31.35,89.3,46.26666666666667,27.55
96.8,42.95,92.7,51.96666666666667,39.15
97.2,68.95,98.2,60.73333333333333,7.7
91.2,47.55,95.9,53.166666666666664,46.35
97.4,75.15,98.7,69.89999999999999,0.0
98.0,79.19999999999999,98.6,69.16666666666667,32.95
98.9,85.3,99.3,70.3,3.2
99.0,57.85,97.6,56.86666666666667,6.7
98.7,88.05000000000001,99.5,68.0,3.0
98.5,52.099999999999994,96.5,58.4,30.2
95.1,66.35,96.9,57.5,11.2
99.2,67.5,99.3,54.23333333333333,8.1
97.4,39.35,95.3,41.93333333333333,30.55
93.9,67.30000000000001,98.7,46.96666666666667,36.55
98.2,60.55,99.5,56.56666666666666,45.099999999999994
99.7,84.1,98.9,63.73333333333333,42.35
97.0,74.45,99.3,63.86666666666667,5.2
97.7,55.65,96.9,56.36666666666667,24.3
94.8,45.9,95.2,56.96666666666667,33.7
98.3,76.85,99.9,62.76666666666667,42.65
91.0,51.25,95.5,56.73333333333334,30.95
99.5,84.5,99.6,68.56666666666668,14.2
90.7,59.85,95.3,58.099999999999994,38.349999999999994
96.9,60.349999999999994,99.4,54.800000000000004,34.2
99.5,81.85,97.3,71.0,5.1
99.2,81.85,99.5,76.46666666666668,10.3
99.3,84.4,99.6,75.46666666666668,48.5
100.0,80.6,99.8,72.46666666666665,37.550000000000004
99.9,80.1,99.6,69.2,51.5
98.5,72.8,100.0,62.06666666666667,10.0
99.9,78.8,99.2,70.16666666666667,49.45
99.9,76.15,99.6,72.1,36.8
97.2,78.30000000000001,99.3,74.93333333333334,40.349999999999994
96.2,65.3,100.0,66.76666666666667,44.35
99.8,65.5,99.8,60.666666666666664,41.1
99.3,60.35,99.9,62.033333333333324,9.1
99.3,66.94999999999999,99.7,64.33333333333333,34.349999999999994
98.5,78.65,99.7,74.66666666666667,49.9
96.6,73.8,99.8,76.36666666666666,15.4
99.7,57.0,99.6,68.36666666666666,39.15
99.7,70.65,100.0,73.56666666666666,43.349999999999994
99.7,82.75,99.4,75.86666666666666,10.1
